Year,Length,Title,Subject
1993,30,Alfred Hitchcock Presents,
1991,99,Delicatessen,Comedy
1979,110,Great Train Robbery,
1991,110,Hanover Street,Drama
1991,102,Hunchback,Drama
1946,97,My Darling Clementine,Western
1950,86,Wagon Master,Western
1949,93,She Wore a Yellow Ribbon,Western
1985,90,Fantasy Man,Comedy
1986,87,Monster in the Closet,Comedy
1992,85,Double Edge,Drama
1976,116,Network,Comedy
1974,131,Chinatown,Drama
1975,117,Three Days of the Condor,Drama
1977,134,Voyage of the Damned,Drama
1987,97,Barfly,Drama
1990,104,Wait Until Spring,
1947,118,Life with Father,Comedy
1943,,A Guy Named Joe,Drama
1974,117,Stavisky,Drama
1981,117,Time Bandits,Comedy
1980,144,Shining,
1945,91,Flame of Barbary Coast,Western
1993,92,Naked Truth,
1979,92,Brood,
1970,123,Molly Maguires,
1984,105,Beverly Hills Cop,Comedy
1991,86,Blind Man's Bluff,Mystery
1961,140,La Dolce Vita,Drama
1966,103,After the Fox,Comedy
1974,127,Man with the Golden Gun,
1985,96,Marbella,Action
1967,103,Bobo,
1993,53,Big Bands,
1992,97,Killer Image.,Mystery
1987,94,Kandyland,Drama
1987,94,Campus Man,Drama
1956,101,Jubal,Drama
1985,84,Purple Rose of Cairo,
1984,85,Broadway Danny Rose,Comedy
1992,108,Husbands & Wives,Comedy
1986,103,Hannah & Her Sisters,Comedy
1979,115,Hurricane,Action
1986,95,Between Two Women,Drama
1981,96,Cannonball Run,
1936,70,Doughnuts & Society,Comedy
1978,450,Holocaust,Drama
1990,103,Meridian,Science Fiction
1992,90,Diary of a Hitman,Drama
1988,95,Gor,Action
1987,95,Surrender,Comedy
1984,112,Places in the Heart,Drama
1991,106,Not Without My Daughter,Drama
1977,113,Heroes,Drama
1981,116,Absence of Malice,Drama
1979,110,Norma Rae,Drama
1989,118,Steel Magnolias,Drama
1989,101,Burbs,
1980,124,Empire Strikes Back,
1977,121,Star Wars,Science Fiction
1983,132,Return of the Jedi,Science Fiction
1991,104,Hear My Song,Drama
1956,99,Slightly Scarlet,Action
1957,120,Gunfight at the OK Corral,Western
1931,,Range Feud,
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy
1972,129,Roma,Drama
1979,122,China Syndrome,
1986,100,Morning After,
1971,114,Klute,Drama
1979,113,Electric Horseman,
1965,97,Cat Ballou,Comedy
1991,,Coming Home,Drama
1940,130,Rebecca,Drama
1944,96,Jane Eyre,Drama
1973,87,Stacey!,Action
1992,85,Naked Obsession,Mystery
1989,83,Stripped to Kill II,
1990,94,Rain Killer,
1983,95,Valley Girl,Comedy
1991,118,Silence of the Lambs,
1988,98,Stealing Home,Drama
1972,92,Napoleon & Samantha,Comedy
1988,,Five Corners,Drama
1955,,Blackboard Jungle,
1989,103,My Left Foot,Drama
1987,92,Back to the Beach,Comedy
1934,85,Painted Veil,
1931,74,Inspiration,Drama
1930,92,Anna Christie,Drama
1926,109,Flesh & the Devil,
1928,90,Woman of Affairs,Drama
1935,96,Anna Karenina,Drama
1936,110,Camille,Drama
1931,91,Mata Hari,Drama
1929,100,Wild Orchids,Drama
1932,112,Grand Hotel,Drama
1931,84,Susan Lennox,
1939,108,Ninotchka,Comedy
1933,97,Queen Christina,Drama
1928,96,Mysterious Lady,
1925,125,Joyless Street,Drama
1929,74,Single Standard,
1932,71,As You Desire Me,Drama
1930,76,Romance,Drama
1962,105,A Child Is Waiting,Drama
1982,116,Tootsie,Comedy
1989,86,Let It Ride,Comedy
1953,120,Julius Caesar,Drama
1979,120,Nineteen Forty-One,Comedy
1975,124,Jaws,Action
1987,93,Hot Pursuit,Drama
1989,120,Triumph of the Spirit,Drama
1975,111,Brannigan,Drama
1979,89,Buffet Froid,Comedy
1986,122,Salvador,Drama
1959,102,Horse Soldiers,
1954,108,Long John Silver,Action
1961,134,Hustler,
1983,109,Star Chamber,
1988,100,Clara's Heart,Drama
1987,102,Burglar,Comedy
1986,120,Comic Relief,Comedy
1978,117,Bloodbrothers,Drama
1988,134,Rain Man,Drama
1966,95,Masculine Feminine,Drama
1964,51,Outer Limits,
1988,,Mama's Dirty Girls,Horror
1979,180,Last Ride of the Dalton Gang,
1991,,Why Me?,Comedy
1932,66,Number Seventeen,Crime
1986,120,Manhunter,Drama
1990,126,Bonfire of the Vanities,
1988,115,Working Girl,Comedy
1992,133,Shining Through,Mystery
1991,76,Slumber Party Massacre III,Horror
1988,99,Tokyo Pop,Comedy
1991,136,Terminator 2,Action
1984,108,Terminator,
1986,105,King Kong Lives!,Action
1969,125,Those Daring Young Men in Their Jaunty,Comedy
1991,186,At Play in the Fields of the Lord,Drama
1990,,Crazy People,Comedy
1992,99,Memoirs of an Invisible Man,Comedy
1985,100,Clan of the Cave Bear,
1983,82,Final Terror,
1984,93,Reckless,Drama
1989,,High Spirits,Comedy
1987,107,Roxanne,Comedy
1982,117,Blade Runner,Action
1987,126,Wall Street,Drama
1992,111,Pope of Greenwich Village,Drama
1989,89,After School,Drama
1938,298,Flaming Frontiers,Western
1936,89,Libeled Lady,Comedy
1976,99,Inserts,Drama
1988,88,Blue Iguana,
1983,93,Tender Mercies,Drama
1987,96,Nights in White Satin,Drama
1989,87,Videodrome,Horror
1991,96,Intimate Stranger,Mystery
1986,110,Highlander,Science Fiction
1987,93,Bodycount,Action
1989,104,Tango & Cash,Action
1970,94,There's a Girl in My Soup,Comedy
1984,100,Swing Shift,Drama
1978,112,Foul Play,Comedy
1982,109,Best Friends,Comedy
1972,109,Butterflies Are Free,Drama
1987,112,Overboard,Comedy
1974,103,Girl from Petrovka,
1992,102,Housesitter,Comedy
1986,106,Wildcats,Comedy
1984,100,Protocol,Comedy
1980,102,Seems Like Old Times,Comedy
1974,109,Sugarland Express,
1980,110,Private Benjamin,Comedy
1991,115,Deceived,Mystery
1931,95,Arrowsmith,Drama
1972,78,Say Goodbye Maggie Cole,Drama
1964,132,Circus World,Drama
1952,98,Affair in Trinidad,Drama
1948,87,Lady from Shanghai,Mystery
1940,81,Lady in Question,Drama
1946,110,Gilda,Drama
1948,98,Loves of Carmen,
1990,105,Dick Tracy,Comedy
1964,130,Marnie,Drama
1987,85,Hot Child in the City,Mystery
1984,90,Johnny Dangerously,Comedy
1985,95,Stark,Mystery
1949,84,Three Strange Loves,Drama
1964,170,My Fair Lady,Music
1960,123,Unforgiven,
1976,106,Robin & Marian,Action
1961,109,Children's Hour,
1956,121,Rainmaker,
1952,95,Pat & Mike,Comedy
1968,134,Lion in Winter,
1991,132,Sea of Grass,
1967,108,Guess Who's Coming to Dinner,Drama
1957,153,Desk Set,Comedy
1975,107,Rooster Cogburn,Western
1981,109,On Golden Pond,Drama
1991,101,Adam's Rib,Comedy
1991,116,Boom Town,Drama
1991,145,Dragon Seed,Drama
1991,115,Little Women,Drama
1991,113,Philadelphia Story,
1991,112,Without Love,Comedy
1991,113,Woman of the Year,Comedy
1992,95,Juice,Drama
1986,114,Hoosiers,Drama
1987,112,Tin Men,Comedy
1988,163,Last Temptation of Christ,
1991,99,Paris Trout,Drama
1988,87,Souvenir,Drama
1966,120,A Man for All Seasons,Drama
1986,90,Knights & Emeralds,Drama
1989,83,Masque of the Red Death,Horror
1943,265,Adventures of Smilin' Jack,
1992,88,Adventures in Dinosaur City,Action
1987,95,Allnighter,
1980,99,Caddyshack,Comedy
1973,102,Tom Sawyer,Music
1987,94,Rita,
1947,56,Hawk of Powder River,Western
1928,148,Tempest,Drama
1986,90,Running Mates,Drama
1987,105,Prettykill,Drama
1934,80,Judge Priest,Drama
1950,104,Harvey,Comedy
1991,89,If Looks Could Kill,Action
1987,94,Raising Arizona,Comedy
1989,114,Once Around,Comedy
1980,110,Loulou,Drama
1982,136,World According to Garp,
1980,106,Virus,Science Fiction
1940,127,Northwest Passage,Action
1987,112,Gardens of Stone,Drama
1989,121,Enemies,
1992,102,Addams Family,
1932,65,Freaks,Horror
1991,108,Necessary Roughness,Comedy
1990,93,A Show of Force,Drama
1980,129,Competition,
1988,97,Crossing Delancey,Comedy
1982,120,State of Things,
1987,89,Business As Usual,Comedy
1973,103,A Touch of Class,Comedy
1970,129,Women in Love.,Drama
1988,89,Salome's Last Dance,Comedy
1986,100,Casino,Mystery
1955,108,Smiles of a Summer Night,Comedy
1989,90,New Year's Day,Comedy
1981,132,Mephisto,Drama
1927,60,Easy Virtue,Mystery
1937,59,Swing It Sailor!,Comedy
1991,83,Strictly Business,Comedy
1983,90,Blame It on Rio,Comedy
1987,86,Straight to Hell,Action
1990,131,A View to a Kill,Action
1986,100,American Anthem,Drama
1963,99,Bedtime Story,Comedy
1991,117,Courtship of Eddie's Father,
1988,102,Night Train to Katmandu,
1948,100,Port of Call,Drama
1973,103,Paper Moon,Comedy
1983,97,Yellowbeard,Comedy
1975,91,Adventures of Sherlock Holmes' Smarter,Comedy
1990,108,Flashback,Comedy
1977,89,World's Greatest Lover,
1955,67,Killer's Kiss,Mystery
1988,103,Deceivers,
1983,97,Breathless,Action
1989,145,Born on the Fourth of July,Drama
1991,120,Awakenings,Drama
1977,94,Annie Hall,Comedy
1979,96,Manhattan,Comedy
1981,195,Reds,Drama
1986,105,Crimes of the Heart,Comedy
1977,136,Looking for Mr. Goodbar,Drama
1972,175,Godfather,
1974,201,Godfather,
1976,109,I Will,
1972,86,Play It Again,
1975,82,Love & Death,Comedy
1973,88,Sleeper,Comedy
1970,130,Fellini Satyricon,Drama
1980,117,Formula,
1977,143,Black Sunday,Drama
1977,124,Bobby Deerfield,Drama
1972,98,Last of the Red Hot Lovers,Comedy
1953,116,Mogambo,Action
1955,103,To Catch a Thief,Mystery
1954,113,Rear Window,Mystery
1945,69,Woman Who Came Back,Drama
1939,101,Stanley & Livingstone,Action
1956,129,Bad Seed,
1989,113,Lethal Weapon 2,Action
1992,79,Blame It on the Bellboy,Comedy
1927,62,Drop Kick,
1978,145,Superman,
1987,90,Superman IV: The Quest for Peace,Action
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy
1989,96,Dead Calm,Mystery
1990,107,Days of Thunder,Action
1987,101,My Life As a Dog,Comedy
1983,,Moon in the Gutter,
1984,150,Paris,
1984,96,Unfaithfully Yours,Comedy
1987,95,Bullseye!,Comedy
1989,104,Erik the Viking,Action
1987,90,Dragonard,Drama
1986,90,Hard Choices,Drama
1969,102,Rain People,
1984,106,A Year of the Quiet Sun,Drama
1935,54,Desert Trail,
1990,98,Almost an Angel,Comedy
1986,98,Crocodile Dundee,Comedy
1977,127,American Friend,
1989,119,See You in the Morning,Drama
1987,88,Arrogant,
1989,86,Dracula's Widow,Horror
1987,90,Ninja Masters of Death,Action
1990,110,Mystery Train,Comedy
1978,114,Go Tell the Spartans,War
1986,89,True Stories,Comedy
1953,94,Ugetsu Monogatari,Drama
1969,80,Rebel Rousers,Action
1988,98,Plain Clothes,Comedy
1981,119,Whose Life Is It,
1988,116,Running on Empty,Drama
1990,101,Funny about Love,Comedy
1985,118,A Chorus Line,
1986,84,Stewardess School,Comedy
1987,109,Big Town,
1983,94,Rumble Fish,Drama
1983,91,Outsiders,
1990,94,Priceless Beauty,Science Fiction
1989,93,Streets of Fire,Action
1990,115,Men Don't Leave,Drama
1988,127,Everybody's All American,Romance
1992,128,Cape Fear,Mystery
1992,121,Postman Always Rings Twice,
1949,58,Crashing Thru,Western
1978,109,Get Out Your Handkerchiefs,Comedy
